Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 62,50 mV
Zero level = 96

N 	Smpl.	Trig

0	109	0
1	124	0
2	139	0
3	153	0
4	159	0
5	159	0
6	150	0
7	137	0
8	120	0
9	107	0
10	97	0
11	97	0
12	103	0
13	115	0
14	131	0
15	147	0
16	157	0
17	160	0
18	155	0
19	143	0
20	129	0
21	113	0
22	101	0
23	97	0
24	99	0
25	109	0
26	123	0
27	139	0
28	152	0
29	159	0
30	159	0
31	150	0
32	137	0
33	120	0
34	107	0
35	98	0
36	95	0
37	103	0
38	115	0
39	131	0
40	147	0
41	157	0
42	161	0
43	156	0
44	144	0
45	129	0
46	113	0
47	101	0
48	95	0
49	99	0
50	109	0
51	123	0
52	139	0
53	153	0
54	159	0
55	160	0
56	151	0
57	137	0
58	121	0
59	107	0
60	98	0
61	97	0
62	103	0
63	115	0
64	132	0
65	147	0
66	157	0
67	160	0
68	155	0
69	144	0
70	128	0
71	113	0
72	101	0
73	95	0
74	99	0
75	109	0
76	123	0
77	140	0
78	153	0
79	159	0
80	158	0
81	150	0
82	137	0
83	120	0
84	107	0
85	97	0
86	97	0
87	103	0
88	115	0
89	131	0
90	145	0
91	157	0
92	161	0
93	155	0
94	144	0
95	129	0
96	113	0
97	101	0
98	96	0
99	99	0
100	109	0
101	124	0
102	140	0
103	153	0
104	159	0
105	159	0
106	150	0
107	137	0
108	121	0
109	107	0
110	98	0
111	95	0
112	103	0
113	116	0
114	131	0
115	147	0
116	157	0
117	161	0
118	155	0
119	143	0
120	129	0
121	113	0
122	101	0
123	96	0
124	99	0
125	109	0
126	124	0
127	139	0
128	153	0
129	159	0
130	159	0
131	150	0
132	137	0
133	121	0
134	107	0
135	98	0
136	97	0
137	103	0
138	116	0
139	132	0
140	147	0
141	157	0
142	161	0
143	155	0
144	144	0
145	129	0
146	113	0
147	101	0
148	96	0
149	99	0
150	109	0
151	123	0
152	139	0
153	153	0
154	159	0
155	159	0
156	150	0
157	137	0
158	121	0
159	106	0
160	98	0
161	97	0
162	103	0
