Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 62,50 mV
Zero level = 96

N 	Smpl.	Trig

0	121	0
1	137	0
2	151	0
3	159	0
4	160	0
5	152	0
6	139	0
7	123	0
8	108	0
9	99	0
10	96	0
11	101	0
12	114	0
13	129	0
14	145	0
15	156	0
16	160	0
17	157	0
18	146	0
19	131	0
20	115	0
21	102	0
22	97	0
23	97	0
24	107	0
25	121	0
26	137	0
27	150	0
28	159	0
29	159	0
30	151	0
31	138	0
32	123	0
33	109	0
34	98	0
35	95	0
36	102	0
37	113	0
38	129	0
39	145	0
40	156	0
41	160	0
42	157	0
43	145	0
44	130	0
45	115	0
46	102	0
47	96	0
48	97	0
49	107	0
50	121	0
51	137	0
52	150	0
53	159	0
54	159	0
55	152	0
56	138	0
57	123	0
58	109	0
59	99	0
60	95	0
61	102	0
62	113	0
63	129	0
64	144	0
65	156	0
66	160	0
67	157	0
68	146	0
69	131	0
70	115	0
71	102	0
72	96	0
73	98	0
74	107	0
75	121	0
76	137	0
77	151	0
78	159	0
79	159	0
80	151	0
81	139	0
82	123	0
83	108	0
84	99	0
85	95	0
86	102	0
87	114	0
88	129	0
89	144	0
90	156	0
91	161	0
92	157	0
93	146	0
94	131	0
95	115	0
96	103	0
97	97	0
98	98	0
99	107	0
100	121	0
101	137	0
102	151	0
103	159	0
104	159	0
105	152	0
106	139	0
107	123	0
108	108	0
109	98	0
110	97	0
111	102	0
112	114	0
113	129	0
114	145	0
115	156	0
116	161	0
117	157	0
118	146	0
119	131	0
120	115	0
121	103	0
122	96	0
123	98	0
124	107	0
125	121	0
126	137	0
127	151	0
128	159	0
129	160	0
130	151	0
131	139	0
132	123	0
133	108	0
134	99	0
135	97	0
136	102	0
137	113	0
138	129	0
139	145	0
140	156	0
141	161	0
142	157	0
143	145	0
144	131	0
145	115	0
146	103	0
147	96	0
148	98	0
149	107	0
150	121	0
151	137	0
152	151	0
153	159	0
154	159	0
155	151	0
156	139	0
157	123	0
158	109	0
159	98	0
160	97	0
161	102	0
162	113	0
163	129	0
164	145	0
165	156	0
166	161	0
167	157	0
168	146	0
169	131	0
170	115	0
171	102	0
172	96	0
173	97	0
174	107	0
175	121	0
176	137	0
177	151	0
178	159	0
179	159	0
180	151	0
181	139	0
182	123	0
183	109	0
184	99	0
185	95	0
186	102	0
187	113	0
188	129	0
189	145	0
190	156	0
191	161	0
192	157	0
193	146	0
194	131	0
195	115	0
196	103	0
197	96	0
198	98	0
199	107	0
200	121	0
201	137	0
202	151	0
203	159	0
204	159	0
205	152	0
206	139	0
207	123	0
208	109	0
209	98	0
210	95	0
211	102	0
212	113	0
213	129	0
214	145	0
215	157	0
216	160	0
217	157	0
218	145	0
219	131	0
220	115	0
221	102	0
222	97	0
223	99	0
224	107	0
225	121	0
226	137	0
227	150	0
228	159	0
229	161	0
230	151	0
231	139	0
232	123	0
233	108	0
234	99	0
235	97	0
236	102	0
237	114	0
238	129	0
239	145	0
240	157	0
241	161	0
242	157	0
243	145	0
244	131	0
245	115	0
246	103	0
247	97	0
248	97	0
249	107	0
250	121	0
251	137	0
252	150	0
253	159	0
254	160	0
255	152	0
256	139	0
257	123	0
258	109	0
259	99	0
260	95	0
261	102	0
262	113	0
263	129	0
264	145	0
265	155	0
266	160	0
267	157	0
268	146	0
269	131	0
270	115	0
271	102	0
272	97	0
273	98	0
274	107	0
275	121	0
276	137	0
277	150	0
278	159	0
279	159	0
280	152	0
281	139	0
282	123	0
283	108	0
284	99	0
285	95	0
286	102	0
287	113	0
288	129	0
289	145	0
290	157	0
291	160	0
292	157	0
293	145	0
294	130	0
295	115	0
296	102	0
297	97	0
298	97	0
299	107	0
300	121	0
301	137	0
302	151	0
303	159	0
304	160	0
305	151	0
306	139	0
307	123	0
308	108	0
309	99	0
310	96	0
311	102	0
312	113	0
313	129	0
314	145	0
315	156	0
316	160	0
317	157	0
318	145	0
319	131	0
320	115	0
321	102	0
322	97	0
323	98	0
324	107	0
325	121	0
326	137	0
327	151	0
328	159	0
329	159	0
330	151	0
331	139	0
332	123	0
333	108	0
334	99	0
335	97	0
336	102	0
337	114	0
338	129	0
339	144	0
340	156	0
341	160	0
342	157	0
343	147	0
344	130	0
345	115	0
346	102	0
347	96	0
348	98	0
349	107	0
350	121	0
351	137	0
352	151	0
353	159	0
354	161	0
355	151	0
356	139	0
357	123	0
358	108	0
359	97	0
360	97	0
361	102	0
362	113	0
363	129	0
364	145	0
365	156	0
366	160	0
367	157	0
368	146	0
369	131	0
370	115	0
371	102	0
372	97	0
373	98	0
374	107	0
375	121	0
376	137	0
377	150	0
378	159	0
379	159	0
380	151	0
381	139	0
382	123	0
383	109	0
384	99	0
385	95	0
386	102	0
387	113	0
388	129	0
389	145	0
390	156	0
391	160	0
392	157	0
393	146	0
394	131	0
395	115	0
396	102	0
397	97	0
398	98	0
399	107	0
400	121	0
401	137	0
402	151	0
403	159	0
404	159	0
405	151	0
406	139	0
407	123	0
408	108	0
409	99	0
410	97	0
411	102	0
412	113	0
413	129	0
414	145	0
415	155	0
416	161	0
417	157	0
418	146	0
419	131	0
420	115	0
421	103	0
422	97	0
423	97	0
424	107	0
425	121	0
426	137	0
427	151	0
428	159	0
429	159	0
430	151	0
431	139	0
432	123	0
433	108	0
434	98	0
435	95	0
436	102	0
437	113	0
438	129	0
439	145	0
440	155	0
441	161	0
442	157	0
443	146	0
444	131	0
445	115	0
446	102	0
447	96	0
448	98	0
449	107	0
450	121	0
451	137	0
452	151	0
453	159	0
454	160	0
455	151	0
456	139	0
457	123	0
458	108	0
459	99	0
460	97	0
461	101	0
462	113	0
463	129	0
464	145	0
465	156	0
466	160	0
467	157	0
468	147	0
469	131	0
470	115	0
471	102	0
472	96	0
473	98	0
474	107	0
475	121	0
476	137	0
477	151	0
478	159	0
479	159	0
480	151	0
481	139	0
482	123	0
483	108	0
484	99	0
485	97	0
486	102	0
487	113	0
488	129	0
489	145	0
490	156	0
491	161	0
492	157	0
493	145	0
494	131	0
495	115	0
496	102	0
497	97	0
498	98	0
499	107	0
500	121	0
501	137	0
502	151	0
503	159	0
504	161	0
505	151	0
506	139	0
507	123	0
