Oscilloscope data. 
Time step = 100,0 nS
Voltage step = 62,50 mV
Zero level = 100

N 	Smpl.	Trig

0	101	0
1	165	0
2	165	0
3	165	0
4	165	0
5	165	0
6	165	0
7	165	0
8	165	0
9	165	0
10	165	0
11	165	0
12	165	0
13	165	0
14	165	0
15	165	0
16	164	0
17	165	0
18	164	0
19	165	0
20	165	0
21	99	0
22	101	0
23	101	0
24	100	0
25	100	0
26	101	0
27	101	0
28	101	0
29	101	0
30	101	0
31	101	0
32	101	0
33	101	0
34	101	0
35	101	0
36	101	0
37	100	0
38	101	0
39	100	0
40	101	0
41	101	0
42	100	0
43	101	0
44	100	0
45	101	0
46	101	0
47	101	0
48	101	0
49	100	0
50	101	0
51	100	0
52	101	0
53	101	0
54	101	0
55	101	0
56	101	0
57	100	0
58	100	0
59	101	0
60	100	0
61	101	0
62	101	0
63	101	0
64	99	0
65	101	0
66	101	0
67	101	0
68	101	0
69	101	0
70	101	0
71	101	0
72	101	0
73	101	0
74	100	0
75	101	0
76	99	0
77	101	0
78	101	0
79	100	0
80	101	0
81	100	0
82	101	0
83	101	0
84	101	0
85	101	0
86	100	0
87	101	0
88	99	0
89	101	0
90	100	0
91	101	0
92	99	0
93	101	0
94	101	0
95	100	0
96	101	0
97	101	0
98	101	0
99	100	0
100	100	0
101	166	0
102	165	0
103	165	0
104	165	0
105	164	0
106	164	0
107	164	0
108	165	0
109	164	0
110	165	0
111	165	0
112	165	0
113	165	0
114	165	0
115	165	0
116	165	0
117	165	0
118	164	0
119	164	0
120	165	0
121	99	0
122	101	0
123	100	0
124	100	0
125	100	0
126	101	0
127	101	0
128	101	0
129	101	0
130	101	0
131	101	0
132	99	0
133	100	0
134	99	0
135	100	0
136	101	0
137	99	0
138	101	0
139	101	0
140	101	0
141	101	0
142	101	0
143	101	0
144	101	0
145	101	0
146	101	0
147	101	0
148	101	0
149	101	0
150	100	0
151	101	0
152	100	0
153	101	0
154	101	0
155	101	0
156	101	0
157	101	0
158	100	0
159	101	0
160	100	0
161	101	0
162	101	0
163	101	0
164	101	0
165	101	0
166	101	0
167	101	0
168	101	0
169	100	0
170	101	0
171	101	0
172	101	0
173	100	0
174	101	0
175	101	0
176	101	0
177	100	0
178	100	0
179	101	0
180	101	0
181	101	0
182	101	0
183	101	0
184	101	0
185	101	0
186	101	0
187	101	0
188	101	0
189	101	0
190	101	0
191	101	0
192	101	0
193	101	0
194	101	0
195	100	0
196	101	0
197	101	0
198	101	0
199	101	0
200	100	0
201	165	0
202	165	0
203	165	0
204	165	0
205	164	0
206	165	0
207	164	0
208	165	0
209	165	0
210	165	0
211	165	0
212	165	0
213	165	0
214	165	0
215	165	0
216	165	0
217	165	0
218	165	0
219	165	0
220	164	0
221	99	0
222	101	0
223	101	0
224	101	0
225	100	0
226	101	0
227	100	0
228	101	0
229	101	0
230	101	0
231	101	0
232	101	0
233	100	0
234	100	0
235	101	0
236	99	0
237	100	0
238	100	0
239	101	0
240	101	0
241	101	0
242	101	0
243	101	0
244	101	0
245	101	0
246	100	0
247	100	0
248	100	0
249	101	0
250	101	0
251	101	0
252	101	0
253	101	0
254	101	0
255	101	0
256	101	0
257	101	0
258	101	0
259	101	0
260	101	0
261	100	0
262	101	0
263	100	0
264	101	0
265	101	0
266	101	0
267	101	0
268	101	0
269	101	0
270	101	0
271	100	0
272	101	0
273	101	0
274	101	0
275	101	0
276	101	0
277	101	0
278	101	0
279	100	0
280	100	0
281	99	0
282	101	0
283	101	0
284	101	0
285	101	0
286	101	0
287	101	0
288	101	0
289	101	0
290	100	0
291	101	0
292	101	0
293	100	0
294	100	0
295	101	0
296	100	0
297	101	0
298	101	0
299	101	0
300	101	0
301	166	0
302	164	0
303	165	0
304	165	0
305	165	0
306	165	0
307	164	0
308	165	0
309	165	0
310	164	0
311	165	0
312	165	0
313	165	0
314	165	0
315	164	0
316	165	0
317	165	0
318	165	0
319	165	0
320	165	0
321	99	0
322	101	0
323	100	0
324	101	0
325	101	0
326	100	0
327	101	0
328	101	0
329	101	0
330	101	0
331	100	0
332	101	0
333	101	0
334	101	0
335	100	0
336	101	0
337	101	0
338	101	0
339	101	0
340	101	0
341	100	0
342	100	0
343	101	0
344	100	0
345	101	0
346	100	0
347	101	0
348	100	0
349	101	0
350	100	0
351	101	0
352	101	0
353	101	0
354	100	0
355	101	0
356	100	0
357	100	0
358	101	0
359	100	0
360	101	0
361	101	0
362	100	0
363	101	0
364	101	0
365	100	0
366	101	0
367	101	0
368	100	0
369	100	0
370	101	0
371	101	0
372	101	0
373	101	0
374	100	0
375	101	0
376	101	0
377	101	0
378	101	0
379	100	0
380	101	0
381	101	0
382	101	0
383	101	0
384	99	0
385	101	0
386	101	0
387	101	0
388	100	0
389	101	0
390	101	0
391	101	0
392	101	0
393	101	0
394	101	0
395	101	0
396	100	0
397	101	0
398	100	0
399	101	0
400	100	0
401	165	0
402	164	0
403	165	0
404	164	0
405	165	0
406	164	0
407	165	0
408	165	0
409	165	0
410	165	0
411	165	0
412	164	0
413	165	0
414	165	0
415	165	0
416	165	0
417	165	0
418	165	0
419	164	0
420	165	0
421	99	0
422	101	0
423	101	0
424	100	0
425	101	0
426	101	0
427	101	0
428	101	0
429	101	0
430	100	0
431	101	0
432	101	0
433	101	0
434	100	0
435	101	0
436	100	0
437	101	0
438	101	0
439	101	0
440	101	0
441	101	0
442	101	0
443	101	0
444	100	0
445	101	0
446	101	0
447	101	0
448	100	0
449	100	0
450	101	0
451	101	0
452	101	0
453	101	0
454	101	0
455	99	0
456	101	0
457	101	0
458	99	0
459	100	0
460	101	0
461	101	0
462	101	0
463	101	0
464	101	0
465	100	0
466	100	0
467	100	0
468	101	0
469	101	0
470	101	0
471	101	0
472	101	0
473	101	0
474	101	0
475	101	0
476	101	0
477	101	0
478	101	0
479	101	0
480	101	0
481	100	0
482	101	0
483	101	0
484	101	0
485	100	0
486	101	0
487	101	0
488	101	0
489	101	0
490	101	0
491	101	0
492	100	0
493	101	0
494	101	0
495	101	0
496	100	0
497	100	0
498	101	0
499	101	0
500	101	0
501	165	0
502	165	0
503	165	0
504	165	0
505	165	0
506	165	0
507	165	0
508	164	0
509	165	0
510	165	0
511	164	0
512	165	0
513	165	0
514	165	0
515	165	0
516	165	0
517	165	0
518	165	0
519	165	0
520	165	0
521	99	0
522	101	0
523	101	0
524	100	0
525	101	0
526	100	0
527	100	0
528	101	0
529	100	0
530	101	0
531	100	0
532	100	0
533	101	0
534	101	0
535	101	0
536	101	0
537	100	0
538	101	0
539	101	0
540	99	0
541	101	0
542	101	0
543	101	0
544	101	0
545	101	0
546	101	0
547	101	0
548	101	0
549	101	0
550	101	0
551	101	0
552	101	0
553	101	0
554	101	0
555	101	0
556	101	0
557	99	0
558	101	0
559	101	0
560	100	0
561	101	0
562	101	0
563	101	0
564	101	0
565	101	0
566	101	0
567	101	0
568	100	0
569	100	0
570	101	0
571	99	0
572	101	0
573	101	0
574	101	0
575	101	0
576	101	0
577	100	0
578	101	0
579	101	0
580	101	0
581	101	0
582	101	0
583	99	0
584	101	0
585	101	0
586	99	0
587	101	0
588	101	0
589	101	0
590	100	0
591	100	0
592	101	0
593	101	0
594	101	0
595	99	0
596	100	0
597	100	0
598	100	0
599	101	0
600	101	0
601	165	0
602	165	0
603	164	0
604	165	0
605	165	0
606	165	0
607	165	0
608	165	0
609	165	0
610	165	0
611	165	0
612	165	0
613	165	0
614	165	0
615	165	0
616	165	0
617	164	0
618	165	0
619	165	0
620	165	0
621	99	0
622	101	0
623	100	0
624	100	0
625	100	0
626	100	0
627	101	0
628	101	0
629	101	0
630	101	0
631	101	0
632	101	0
633	101	0
634	101	0
635	101	0
636	101	0
637	100	0
638	100	0
639	101	0
640	101	0
641	100	0
642	101	0
643	101	0
644	101	0
645	101	0
646	100	0
647	101	0
648	101	0
649	100	0
650	101	0
651	101	0
652	100	0
653	101	0
654	101	0
655	100	0
656	100	0
657	101	0
658	99	0
659	99	0
660	101	0
661	100	0
662	101	0
663	100	0
664	101	0
665	100	0
666	100	0
667	100	0
668	101	0
669	101	0
670	101	0
671	101	0
672	100	0
673	101	0
674	101	0
675	101	0
676	101	0
677	100	0
678	101	0
679	101	0
680	101	0
681	101	0
682	99	0
683	100	0
684	101	0
685	101	0
686	99	0
687	101	0
688	99	0
689	101	0
690	101	0
691	101	0
692	101	0
693	101	0
694	101	0
695	100	0
696	101	0
697	100	0
698	101	0
699	101	0
700	101	0
701	165	0
702	165	0
703	165	0
704	165	0
705	165	0
706	165	0
707	165	0
708	165	0
709	165	0
710	165	0
711	164	0
712	165	0
713	165	0
714	165	0
715	165	0
716	165	0
717	165	0
718	165	0
719	165	0
720	165	0
721	99	0
722	101	0
723	99	0
724	101	0
725	101	0
726	99	0
727	101	0
728	99	0
729	101	0
730	101	0
731	100	0
732	101	0
733	101	0
734	100	0
735	100	0
736	99	0
737	100	0
738	101	0
739	101	0
740	101	0
741	101	0
742	101	0
743	101	0
744	101	0
745	101	0
746	101	0
747	101	0
748	101	0
749	101	0
750	101	0
751	101	0
752	101	0
753	101	0
754	101	0
755	101	0
756	100	0
757	100	0
758	101	0
759	101	0
760	101	0
761	100	0
762	101	0
763	101	0
764	101	0
765	101	0
766	101	0
767	101	0
768	101	0
769	101	0
770	101	0
771	101	0
772	101	0
773	100	0
774	101	0
775	99	0
776	101	0
777	100	0
778	100	0
779	101	0
780	99	0
781	101	0
782	101	0
783	101	0
784	101	0
785	101	0
786	101	0
787	100	0
788	101	0
789	101	0
790	100	0
791	101	0
792	101	0
793	100	0
794	101	0
795	101	0
796	100	0
797	101	0
798	101	0
799	101	0
800	101	0
801	165	0
802	165	0
803	165	0
804	165	0
805	165	0
806	165	0
807	165	0
808	165	0
809	165	0
810	165	0
811	165	0
812	165	0
813	165	0
814	164	0
815	164	0
816	165	0
817	165	0
818	165	0
819	165	0
820	165	0
821	99	0
822	101	0
823	101	0
824	101	0
825	99	0
826	101	0
827	100	0
828	100	0
829	101	0
830	101	0
831	101	0
832	100	0
833	101	0
834	101	0
835	101	0
836	101	0
837	101	0
838	100	0
839	100	0
840	101	0
841	101	0
842	101	0
