Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 3,125 mV
Zero level = 63

N 	Smpl.	Trig

0	47	0
1	47	0
2	47	0
3	47	0
4	47	0
5	47	0
6	47	0
7	47	0
8	47	0
9	47	0
10	47	0
11	47	0
12	47	0
13	47	0
14	47	0
15	47	0
16	47	0
17	47	0
18	47	0
19	47	0
20	47	0
21	47	0
22	47	0
23	47	0
24	47	0
25	47	0
26	47	0
27	47	0
28	47	0
29	47	0
30	47	0
31	47	0
32	47	0
33	47	0
34	47	0
35	47	0
36	47	0
37	47	0
38	47	0
39	47	0
40	47	0
41	47	0
42	47	0
43	47	0
44	48	0
45	47	0
46	47	0
47	47	0
48	47	0
49	47	0
50	48	0
51	47	0
52	47	0
53	47	0
54	47	0
55	47	0
56	48	0
57	47	0
58	47	0
59	47	0
60	47	0
61	47	0
62	48	0
63	47	0
64	47	0
65	47	0
66	47	0
67	47	0
68	48	0
69	47	0
70	47	0
71	47	0
72	47	0
73	47	0
74	48	0
75	47	0
76	47	0
77	47	0
78	47	0
79	47	0
80	47	0
81	47	0
82	47	0
83	47	0
84	47	0
85	47	0
86	48	0
87	47	0
88	47	0
89	47	0
90	47	0
91	47	0
92	48	0
93	47	0
94	47	0
95	47	0
96	47	0
97	47	0
98	48	0
99	47	0
100	47	0
101	47	1
102	47	1
103	47	1
104	48	1
105	47	1
106	47	1
107	47	1
108	47	1
109	47	1
110	48	1
111	47	1
112	47	1
113	47	1
114	47	1
115	47	1
116	48	1
117	47	1
118	47	1
119	47	1
120	47	1
121	47	1
122	48	1
123	47	1
124	47	1
125	47	1
126	47	1
127	47	1
128	48	1
129	47	1
130	47	1
131	47	1
132	47	1
133	47	1
134	48	1
135	47	1
136	47	1
137	47	1
138	47	1
139	47	1
140	48	1
141	47	1
142	47	1
143	47	1
144	47	1
145	47	1
146	47	1
147	47	1
148	48	1
149	47	1
150	47	1
151	47	1
152	47	1
153	47	1
154	48	1
155	75	1
156	149	1
157	160	1
158	161	1
159	163	1
160	165	1
161	165	1
162	165	1
163	165	1
164	165	1
165	165	1
166	165	1
167	165	1
168	165	1
169	165	1
170	165	1
171	165	1
172	166	1
173	167	1
174	167	1
175	167	1
176	167	1
177	168	1
178	168	1
179	168	1
180	169	1
181	169	1
182	169	1
183	168	1
184	169	1
185	169	1
186	170	1
187	170	1
188	171	1
189	171	1
190	171	1
191	171	1
192	171	1
193	171	1
194	171	1
195	172	1
196	172	1
